DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";-;25;68;335;826;524;188;71;18;15;6;4;2080
"350020 ADOLFO";42;19;14;7;6;10;5;-;-;1;-;-;104
"350030 AGUAI";-;46;91;201;142;41;20;3;12;6;4;6;572
"350040 AGUAS DA PRATA";-;5;15;3;1;-;1;-;-;-;-;-;25
"350050 AGUAS DE LINDOIA";1;2;7;10;9;-;-;-;-;-;-;-;29
"350055 AGUAS DE SANTA BARBARA";-;-;2;4;4;2;-;-;-;-;-;-;12
"350060 AGUAS DE SAO PEDRO";-;-;1;4;2;1;-;-;1;-;-;-;9
"350070 AGUDOS";319;697;192;139;52;6;2;2;1;2;5;22;1439
"350080 ALFREDO MARCONDES";-;-;-;2;7;3;1;2;6;1;2;2;26
"350090 ALTAIR";4;9;6;17;11;10;5;-;-;-;-;-;62
"350100 ALTINOPOLIS";-;1;3;7;9;-;-;-;-;-;-;-;20
"350110 ALTO ALEGRE";-;1;1;9;22;12;3;-;-;1;-;-;49
"350115 ALUMINIO";-;-;2;4;-;1;1;-;-;-;1;-;9
"350120 ALVARES FLORENCE";2;5;7;11;16;4;3;1;-;-;3;-;52
"350130 ALVARES MACHADO";-;24;56;31;36;23;16;1;1;4;1;2;195
"350140 ALVARO DE CARVALHO";-;3;1;4;25;13;-;-;1;-;1;2;50
"350150 ALVINLANDIA";2;-;-;-;-;-;-;-;-;-;-;-;2
"350160 AMERICANA";19;97;780;1862;2096;319;34;6;3;15;6;6;5243
"350170 AMERICO BRASILIENSE";99;458;725;811;480;25;10;7;6;3;4;6;2634
"350180 AMERICO DE CAMPOS";1;6;7;9;23;29;12;13;13;30;90;98;331
"350190 AMPARO";6;40;131;119;50;16;6;4;2;3;1;3;381
"350200 ANALANDIA";-;2;7;3;1;1;2;1;-;-;-;-;17
"350210 ANDRADINA";1650;694;642;804;619;233;51;20;26;10;40;182;4971
"350220 ANGATUBA";2;-;2;-;2;-;1;-;-;-;-;-;7
"350230 ANHEMBI";-;-;1;1;3;2;-;-;-;1;-;-;8
"350240 ANHUMAS";-;-;-;-;1;-;-;-;1;4;-;-;6
"350250 APARECIDA";-;-;14;16;25;4;-;4;1;1;47;55;167
"350260 APARECIDA D'OESTE";-;4;30;10;9;2;3;-;-;1;-;1;60
"350270 APIAI";-;-;1;3;1;-;-;-;1;-;-;-;6
"350275 ARACARIGUAMA";-;-;4;1;14;5;3;-;-;-;2;-;29
"350280 ARACATUBA";78;416;1090;1720;2947;1261;252;73;14;27;17;45;7940
"350290 ARACOIABA DA SERRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"350300 ARAMINA";184;44;4;4;-;-;1;-;-;-;-;21;258
"350310 ARANDU";-;-;-;2;2;1;-;-;-;-;-;-;5
"350315 ARAPEI";-;-;1;-;-;-;-;-;-;-;-;-;1
"350320 ARARAQUARA";2503;7803;6843;4412;1636;243;71;46;31;21;28;211;23848
"350330 ARARAS";6;11;61;180;267;93;19;6;4;5;1;7;660
"350335 ARCO-IRIS";-;1;2;7;19;3;3;-;2;-;-;-;37
"350340 AREALVA";3;9;46;92;41;14;-;-;-;-;-;-;205
"350350 AREIAS";-;-;2;2;-;2;-;-;-;-;-;-;6
"350360 AREIOPOLIS";-;-;2;7;4;-;-;-;-;-;-;-;13
"350370 ARIRANHA";1;1;1;7;15;8;2;1;1;-;-;5;42
"350380 ARTUR NOGUEIRA";-;5;8;31;53;20;4;2;1;3;4;1;132
"350390 ARUJA";32;57;98;201;318;98;14;5;5;6;8;16;858
"350395 ASPASIA";-;1;5;2;3;1;3;1;-;2;1;-;19
"350400 ASSIS";14;78;297;877;958;278;67;32;9;3;7;14;2634
"350410 ATIBAIA";6;15;61;94;137;58;20;28;11;11;11;13;465
"350420 AURIFLAMA";4;15;112;302;146;13;5;2;-;-;1;-;600
"350430 AVAI";1;33;71;8;2;-;-;-;-;-;-;-;115
"350440 AVANHANDAVA";10;34;43;25;10;2;-;3;-;-;-;1;128
"350450 AVARE";1;2;7;6;6;1;-;-;-;-;-;-;23
"350460 BADY BASSITT";73;202;180;211;203;34;12;2;1;3;1;9;931
"350470 BALBINOS";-;3;5;12;17;8;4;-;-;-;-;-;49
"350480 BALSAMO";40;65;40;87;44;9;-;-;-;-;1;5;291
"350490 BANANAL";-;-;-;9;10;3;1;1;-;-;-;-;24
"350510 BARBOSA";-;-;37;72;58;19;6;4;-;-;-;-;196
"350520 BARIRI";-;7;32;88;35;6;-;-;-;4;1;1;174
"350530 BARRA BONITA";-;16;40;47;35;11;-;-;-;-;1;-;150
"350550 BARRETOS";896;1068;1060;1452;831;142;35;7;14;16;16;59;5596
"350560 BARRINHA";10;9;86;416;336;65;21;6;4;2;2;1;958
"350570 BARUERI";1;8;62;250;295;67;13;4;3;5;4;6;718
"350580 BASTOS";2;1;11;50;184;69;25;5;1;-;2;9;359
"350590 BATATAIS";15;80;117;212;108;24;4;-;2;-;-;1;563
"350600 BAURU";3089;6420;9618;5544;1597;307;54;27;41;50;52;129;26928
"350610 BEBEDOURO";20;80;127;240;227;45;19;11;4;-;1;3;777
"350620 BENTO DE ABREU";1;-;-;6;5;2;1;1;3;2;-;-;21
