DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2021
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";-;-;-;4;2;1;3;-;-;-;-;-;1;11
"350020 ADOLFO";-;1;1;-;4;5;7;5;1;-;-;6;60;90
"350030 AGUAI";-;4;7;7;3;-;-;-;-;-;-;-;1;22
"350040 AGUAS DA PRATA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"350050 AGUAS DE LINDOIA";-;-;-;1;3;-;-;-;-;-;-;-;-;4
"350055 AGUAS DE SANTA BARBARA";-;1;1;2;5;15;5;-;-;-;-;-;-;29
"350060 AGUAS DE SAO PEDRO";-;-;2;4;3;1;-;-;-;-;-;-;-;10
"350070 AGUDOS";-;4;-;1;2;-;1;2;-;-;-;2;-;12
"350075 ALAMBARI";-;-;-;36;63;11;-;-;-;-;-;-;-;110
"350080 ALFREDO MARCONDES";-;-;-;1;2;5;-;1;-;-;-;-;-;9
"350090 ALTAIR";-;-;-;12;17;2;-;-;-;-;-;-;-;31
"350100 ALTINOPOLIS";-;-;3;-;1;3;-;-;-;-;-;-;-;7
"350110 ALTO ALEGRE";-;3;1;-;3;4;9;5;3;6;13;39;120;206
"350115 ALUMINIO";-;-;-;3;3;5;-;-;-;-;-;-;-;11
"350120 ALVARES FLORENCE";-;-;1;6;13;15;7;2;1;-;2;3;9;59
"350130 ALVARES MACHADO";-;2;1;1;5;7;1;-;-;1;-;-;-;18
"350140 ALVARO DE CARVALHO";-;-;2;16;61;29;10;1;-;-;-;-;-;119
"350150 ALVINLANDIA";-;1;-;3;4;-;-;-;-;-;-;-;-;8
"350160 AMERICANA";-;18;73;78;193;83;18;2;-;7;4;20;126;622
"350170 AMERICO BRASILIENSE";-;2;4;6;-;7;1;1;-;-;1;1;2;25
"350180 AMERICO DE CAMPOS";-;-;2;-;1;-;-;3;-;-;-;-;1;7
"350190 AMPARO";-;2;1;5;2;2;3;-;-;1;-;1;3;20
"350200 ANALANDIA";-;2;-;2;-;2;-;-;-;-;-;-;-;6
"350210 ANDRADINA";-;73;263;657;823;347;121;43;-;1;3;2;6;2339
"350220 ANGATUBA";-;1;-;5;31;10;-;-;-;1;-;-;-;48
"350230 ANHEMBI";-;-;-;-;12;3;-;-;-;-;-;1;-;16
"350240 ANHUMAS";-;1;-;-;2;1;-;-;-;-;1;-;-;5
"350250 APARECIDA";-;1;1;1;-;-;2;1;1;-;2;-;3;12
"350260 APARECIDA D'OESTE";-;-;-;-;3;-;5;1;-;-;-;-;-;9
"350270 APIAI";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"350280 ARACATUBA";-;35;121;150;369;399;164;47;28;18;19;23;15;1388
"350290 ARACOIABA DA SERRA";-;1;4;10;31;12;-;-;-;-;-;-;1;59
"350320 ARARAQUARA";-;12;26;60;90;66;26;16;4;8;13;13;42;376
"350330 ARARAS";-;5;15;36;77;46;15;4;1;1;2;6;6;214
"350335 ARCO-IRIS";-;-;1;9;1;9;7;1;-;-;-;-;-;28
"350360 AREIOPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350370 ARIRANHA";-;1;1;-;-;1;-;1;1;-;1;-;-;6
"350380 ARTUR NOGUEIRA";-;4;7;10;5;10;1;-;-;1;-;-;-;38
"350390 ARUJA";-;2;1;6;42;28;18;2;1;-;-;1;2;103
"350395 ASPASIA";-;-;-;3;5;3;1;-;-;-;-;-;1;13
"350400 ASSIS";-;20;41;138;247;160;36;10;8;1;3;10;11;685
"350410 ATIBAIA";-;14;5;5;18;18;13;7;10;10;4;5;1;110
"350420 AURIFLAMA";-;38;155;135;141;64;7;-;1;1;-;-;-;542
"350430 AVAI";-;2;-;-;1;-;-;-;-;-;-;3;4;10
"350440 AVANHANDAVA";-;-;-;-;-;4;1;-;-;2;9;1;2;19
"350450 AVARE";-;-;2;3;15;10;1;-;-;-;-;-;-;31
"350460 BADY BASSITT";-;6;52;144;130;73;24;1;-;-;10;17;18;475
"350470 BALBINOS";-;-;1;-;1;-;-;-;-;-;-;-;-;2
