DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2025
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Dez";"Total"
"350010 ADAMANTINA";137;144;211;159;97;27;11;15;1;802
"350020 ADOLFO";119;57;22;5;-;-;-;-;4;207
"350030 AGUAI";51;57;335;280;163;42;7;1;1;937
"350040 AGUAS DA PRATA";-;5;8;5;5;5;-;-;-;28
"350050 AGUAS DE LINDOIA";6;6;31;11;5;1;-;-;-;60
"350055 AGUAS DE SANTA BARBARA";8;36;164;166;82;10;1;-;-;467
"350060 AGUAS DE SAO PEDRO";85;121;89;52;16;4;1;-;5;373
"350070 AGUDOS";41;99;212;224;219;41;21;-;-;857
"350075 ALAMBARI";-;1;7;1;-;-;1;-;-;10
"350080 ALFREDO MARCONDES";185;133;30;2;-;-;-;-;8;358
"350090 ALTAIR";9;9;10;8;12;6;-;-;1;55
"350100 ALTINOPOLIS";10;22;89;107;39;12;1;1;-;281
"350110 ALTO ALEGRE";18;70;200;141;71;10;2;-;-;512
"350115 ALUMINIO";3;16;58;53;32;8;2;2;-;174
"350120 ALVARES FLORENCE";77;41;23;6;2;1;3;2;8;163
"350130 ALVARES MACHADO";38;79;175;137;70;15;5;-;-;519
"350140 ALVARO DE CARVALHO";-;6;14;14;10;1;1;1;-;47
"350150 ALVINLANDIA";3;6;51;12;1;-;-;-;-;73
"350160 AMERICANA";996;2448;4506;1934;542;88;8;12;22;10556
"350170 AMERICO BRASILIENSE";56;283;1260;952;417;39;8;4;-;3019
"350180 AMERICO DE CAMPOS";66;73;28;11;3;4;1;2;8;196
"350190 AMPARO";1081;2065;2602;1499;595;140;35;9;17;8043
"350200 ANALANDIA";5;2;22;17;8;1;1;-;-;56
"350210 ANDRADINA";125;101;162;66;45;8;3;5;6;521
"350220 ANGATUBA";1;12;106;82;33;5;-;-;-;239
"350230 ANHEMBI";8;14;26;54;34;9;-;-;-;145
"350240 ANHUMAS";5;19;110;62;19;2;-;-;1;218
"350250 APARECIDA";13;20;20;24;30;7;1;1;-;116
"350260 APARECIDA D'OESTE";145;65;23;3;3;-;-;-;28;267
"350270 APIAI";1;3;15;21;11;2;-;-;-;53
"350275 ARACARIGUAMA";4;33;137;235;109;27;3;1;-;549
"350280 ARACATUBA";5289;3271;1108;436;330;146;62;80;247;10969
"350290 ARACOIABA DA SERRA";9;34;44;32;13;1;-;-;-;133
"350300 ARAMINA";5;3;2;1;4;3;5;-;-;23
"350310 ARANDU";-;2;14;9;4;2;-;-;-;31
"350315 ARAPEI";-;1;3;-;-;-;-;-;-;4
"350320 ARARAQUARA";1045;2969;6224;4520;3010;518;50;18;30;18384
"350330 ARARAS";400;714;1431;837;357;49;15;2;15;3820
"350335 ARCO-IRIS";5;23;12;-;1;-;-;-;-;41
"350340 AREALVA";-;3;7;8;10;1;-;-;1;30
"350350 AREIAS";-;-;1;-;-;-;-;1;-;2
"350360 AREIOPOLIS";11;12;17;22;28;21;-;-;-;111
"350370 ARIRANHA";18;58;73;33;37;16;2;2;-;239
"350380 ARTUR NOGUEIRA";63;212;584;604;257;28;-;-;1;1749
"350390 ARUJA";5;18;40;46;16;1;3;6;-;135
"350395 ASPASIA";205;49;6;-;-;-;1;-;11;272
"350400 ASSIS";598;1536;3237;2018;810;158;61;37;24;8479
"350410 ATIBAIA";184;413;533;483;280;110;53;27;9;2092
"350420 AURIFLAMA";245;162;69;6;2;3;-;-;23;510
"350430 AVAI";1;5;1;-;1;1;-;-;1;10
"350440 AVANHANDAVA";22;71;149;43;11;8;3;1;-;308
"350450 AVARE";37;116;817;945;649;103;10;-;1;2678
"350460 BADY BASSITT";671;544;274;95;57;14;3;1;31;1690
"350470 BALBINOS";-;3;10;21;29;12;3;-;-;78
"350480 BALSAMO";109;136;162;98;54;18;8;6;1;592
"350490 BANANAL";-;35;22;18;12;1;-;2;-;90
"350500 BARAO DE ANTONINA";1;3;92;55;18;4;1;-;-;174
"350510 BARBOSA";78;28;9;4;4;-;-;-;11;134
