Município de notificação,Codigo Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Populacao
APARECIDA,350250,0,35,345,111,2,0,0,0,0,0,0,0,493,2007,36767
TREMEMBE,355480,0,0,12,0,0,0,0,0,0,0,0,0,12,2007,40391
TAUBATE,355410,4,8,12,13,5,1,0,0,0,0,0,0,43,2007,271289
SAO SEBASTIAO,355070,14,6,49,91,106,18,14,1,1,6,4,6,316,2007,74061
SAO LUIS DO PARAITINGA,355000,0,0,0,18,9,0,0,0,0,0,0,0,27,2007,10838
SAO JOSE DOS CAMPOS,354990,1,5,18,34,26,5,2,1,1,2,3,4,102,2007,610097
SAO JOSE DO BARREIRO,354960,0,0,22,0,0,0,0,0,0,0,0,0,22,2007,4379
SANTO ANTONIO DO PINHAL,354820,0,14,14,14,0,0,0,0,0,0,0,0,42,2007,6948
SANTA BRANCA,354600,0,0,0,0,0,0,0,0,6,0,0,0,6,2007,14410
QUELUZ,354190,0,0,0,9,47,9,0,0,0,0,0,0,65,2007,10580
POTIM,354075,0,10,180,87,10,0,0,0,0,0,5,0,292,2007,18240
PINDAMONHANGABA,353800,1,4,4,1,0,0,0,0,0,0,0,0,10,2007,143367
PARAIBUNA,353560,0,0,0,5,0,0,0,0,0,0,0,0,5,2007,17718
ROSEIRA,354430,0,0,10,20,0,0,0,0,0,0,0,0,30,2007,9883
LAVRINHAS,352660,14,0,14,28,0,0,0,0,0,0,0,0,56,2007,6954
CACAPAVA,350850,0,2,5,0,1,0,1,0,0,0,0,0,9,2007,83990
LORENA,352720,0,0,0,2,2,0,0,0,0,0,0,0,4,2007,83059
CAMPOS DO JORDAO,350970,2,0,0,0,0,0,0,0,0,0,0,0,2,2007,47922
CARAGUATATUBA,351050,0,1,48,196,305,147,53,3,2,2,2,1,760,2007,96384
CRUZEIRO,351340,0,15,97,241,83,2,0,0,0,0,1,0,439,2007,78247
CUNHA,351360,0,17,0,0,0,0,0,0,0,0,0,0,17,2007,23254
CACHOEIRA PAULISTA,350860,6,3,24,24,21,0,0,9,0,3,0,0,90,2007,32077
ILHABELA,352040,0,3,3,0,7,0,3,0,0,0,0,0,16,2007,25890
JACAREI,352440,0,0,3,4,1,0,1,0,0,0,0,0,9,2007,211273
JAMBEIRO,352490,0,0,0,0,0,20,0,0,0,0,0,0,20,2007,4962
LAGOINHA,352630,0,0,19,0,0,0,0,0,0,0,0,0,19,2007,5056
GUARATINGUETA,351840,0,2,11,3,0,0,0,0,0,0,0,0,16,2007,112804
PINDAMONHANGABA,353800,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,142997
TAUBATE,355410,0,0,1,4,0,1,0,0,0,0,0,0,6,2008,270918
SAO SEBASTIAO,355070,0,5,23,71,33,5,2,2,0,0,5,1,147,2008,72236
