Município de notificação,Codigo Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano
ADAMANTINA,350010,5,5,40,169,83,2,0,0,1,2,2,3,312,2007
ADOLFO,350020,1,1,4,4,1,0,0,0,0,0,0,0,11,2007
AGUAI,350030,1,5,28,44,20,3,0,0,0,0,0,0,101,2007
AGUAS DA PRATA,350040,0,0,1,1,0,0,0,0,0,0,0,0,2,2007
AGUAS DE LINDOIA,350050,0,0,1,0,0,0,0,0,0,0,0,0,1,2007
AGUAS DE SAO PEDRO,350060,0,0,0,2,1,1,0,0,0,0,0,0,4,2007
AGUDOS,350070,0,1,8,30,8,0,0,0,0,0,4,0,51,2007
ALTAIR,350090,0,0,0,0,1,0,0,0,0,0,0,0,1,2007
ALTO ALEGRE,350110,0,1,1,3,2,0,0,0,0,0,0,0,7,2007
ALUMINIO,350115,0,0,0,0,1,0,0,0,0,0,0,0,1,2007
ALVARES FLORENCE,350120,0,0,0,2,0,2,0,0,0,0,0,0,4,2007
ALVARES MACHADO,350130,2,8,7,1,4,0,0,0,0,0,0,0,22,2007
ALVINLANDIA,350150,0,1,1,2,1,0,1,0,0,0,2,0,8,2007
AMERICANA,350160,5,19,217,275,142,11,3,3,2,4,4,1,686,2007
AMERICO BRASILIENSE,350170,0,2,5,5,0,0,0,0,0,0,0,0,12,2007
AMERICO DE CAMPOS,350180,0,1,4,9,1,0,0,0,0,0,1,0,16,2007
AMPARO,350190,0,2,0,6,5,0,0,1,0,0,12,1,27,2007
ANALANDIA,350200,0,0,1,3,0,0,0,0,0,0,0,0,4,2007
ANDRADINA,350210,288,1338,863,82,15,0,0,0,1,0,2,15,2604,2007
ANGATUBA,350220,0,0,0,0,0,0,0,0,0,0,0,1,1,2007
APARECIDA,350250,0,13,127,41,1,0,0,0,0,0,0,0,182,2007
APARECIDA D'OESTE,350260,6,19,18,13,9,0,0,1,0,0,0,1,67,2007
ARACARIGUAMA,350275,0,0,0,1,0,0,0,0,0,0,0,0,1,2007
ARACATUBA,350280,183,528,834,616,264,31,5,1,0,3,3,17,2485,2007
ARAMINA,350300,7,2,10,18,7,0,0,0,0,0,1,1,46,2007
ARARAQUARA,350320,8,17,46,127,61,9,1,5,7,6,6,35,328,2007
ARARAS,350330,6,19,145,179,72,8,3,0,0,1,0,2,435,2007
ARCO-IRIS,350335,0,0,0,1,0,0,0,0,0,0,0,0,1,2007
AREALVA,350340,0,0,0,1,1,0,0,0,0,0,0,0,2,2007
ARIRANHA,350370,1,0,18,16,3,0,0,0,0,0,1,0,39,2007
ARTUR NOGUEIRA,350380,0,1,8,50,23,3,1,0,0,0,0,1,87,2007
ARUJA,350390,0,0,0,0,2,0,1,0,1,0,4,2,10,2007
ASSIS,350400,1,10,67,63,16,3,4,0,0,5,10,3,182,2007
ATIBAIA,350410,1,1,5,8,1,0,0,1,0,4,1,1,23,2007
AURIFLAMA,350420,1,34,192,283,85,1,0,0,0,0,0,0,596,2007
AVAI,350430,0,0,0,1,2,0,0,0,0,0,0,0,3,2007
AVANHANDAVA,350440,0,2,18,84,56,0,0,0,0,0,0,0,160,2007
AVARE,350450,1,3,1,3,2,2,1,0,0,0,0,0,13,2007
BADY BASSITT,350460,2,47,82,20,5,0,0,0,0,0,0,0,156,2007
BALBINOS,350470,0,0,0,16,12,0,0,0,0,0,0,0,28,2007
BALSAMO,350480,0,15,34,17,7,0,0,0,1,2,1,0,77,2007
BARBOSA,350510,3,20,114,97,13,2,0,1,1,0,3,2,256,2007
BARIRI,350520,0,2,9,21,34,9,0,0,0,0,4,0,79,2007
BARRA BONITA,350530,0,0,1,1,0,0,0,0,0,1,5,2,10,2007
BARRETOS,350550,24,42,125,201,87,13,5,1,0,2,0,4,504,2007
BARRINHA,350560,0,3,3,2,3,1,0,0,1,0,0,0,13,2007
