Município de notificação,Codigo Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano
APARECIDA,350250,0,13,127,41,1,0,0,0,0,0,0,0,182,2007
CACAPAVA,350850,0,2,5,0,1,0,1,0,0,0,0,0,9,2007
CACHOEIRA PAULISTA,350860,2,1,8,8,7,0,0,3,0,1,0,0,30,2007
CAMPOS DO JORDAO,350970,1,0,0,0,0,0,0,0,0,0,0,0,1,2007
CARAGUATATUBA,351050,0,1,47,189,294,142,52,3,2,2,2,1,735,2007
CRUZEIRO,351340,0,12,76,189,65,2,0,0,0,0,1,0,345,2007
CUNHA,351360,0,4,0,0,0,0,0,0,0,0,0,0,4,2007
GUARATINGUETA,351840,0,3,13,4,0,0,1,0,0,0,0,0,21,2007
ILHABELA,352040,0,1,1,0,2,0,1,0,0,0,0,0,5,2007
JACAREI,352440,1,2,8,9,4,1,4,0,1,1,2,2,35,2007
JAMBEIRO,352490,0,0,0,0,0,1,0,0,0,0,0,0,1,2007
LAGOINHA,352630,0,0,1,0,0,0,0,0,0,0,0,0,1,2007
LAVRINHAS,352660,1,0,1,2,0,0,0,0,0,0,0,0,4,2007
LORENA,352720,0,0,0,2,2,0,0,0,0,0,0,0,4,2007
PARAIBUNA,353560,0,0,0,1,0,0,0,0,0,0,0,0,1,2007
PINDAMONHANGABA,353800,2,6,6,2,0,0,0,0,0,0,0,1,17,2007
POTIM,354075,0,2,33,16,2,0,0,0,0,0,1,0,54,2007
QUELUZ,354190,0,0,0,1,5,1,0,0,0,0,0,0,7,2007
ROSEIRA,354430,0,0,1,2,0,0,0,0,0,0,0,0,3,2007
SANTA BRANCA,354600,0,0,0,0,0,0,0,0,1,0,0,0,1,2007
SANTO ANTONIO DO PINHAL,354820,0,1,1,1,0,0,0,0,0,0,0,0,3,2007
SAO JOSE DO BARREIRO,354960,0,0,1,0,0,0,0,0,0,0,0,0,1,2007
SAO JOSE DOS CAMPOS,354990,8,31,115,213,159,32,17,8,10,16,22,27,658,2007
SAO LUIS DO PARAITINGA,355000,0,0,0,2,1,0,0,0,0,0,0,0,3,2007
SAO PAULO,355030,123,189,905,1945,971,129,65,35,50,68,179,128,4787,2007
SAO SEBASTIAO,355070,11,5,37,68,79,14,11,1,1,5,3,5,240,2007
TAUBATE,355410,12,23,35,37,16,5,0,0,0,1,1,1,131,2007
TREMEMBE,355480,0,0,5,0,0,0,0,0,0,0,0,0,5,2007
APARECIDA,350250,0,1,0,1,0,0,0,0,0,0,0,0,2,2008
CACAPAVA,350850,0,0,0,1,0,0,0,0,0,0,0,0,1,2008
CACHOEIRA PAULISTA,350860,1,1,1,1,2,0,0,0,0,1,1,0,8,2008
CARAGUATATUBA,351050,0,1,45,44,11,3,0,0,0,0,0,1,105,2008
CRUZEIRO,351340,0,0,14,5,6,0,0,0,0,0,0,2,27,2008
GUARATINGUETA,351840,1,2,3,4,3,1,0,0,0,0,1,1,16,2008
ILHABELA,352040,1,0,0,4,5,0,0,0,0,0,0,0,10,2008
JACAREI,352440,2,6,14,12,4,3,0,0,0,0,0,0,41,2008
JAMBEIRO,352490,0,0,0,1,0,0,0,0,0,0,0,0,1,2008
LAVRINHAS,352660,0,1,0,0,0,0,0,0,0,0,0,0,1,2008
LORENA,352720,5,1,3,3,0,0,0,0,0,0,0,0,12,2008
MONTEIRO LOBATO,353170,0,0,2,0,0,0,0,0,0,0,0,0,2,2008
NATIVIDADE DA SERRA,353230,0,0,1,0,0,0,0,0,0,0,0,0,1,2008
PINDAMONHANGABA,353800,0,0,0,0,0,0,1,0,0,1,0,1,3,2008
PIQUETE,353850,0,0,2,1,0,0,0,0,0,0,0,0,3,2008
POTIM,354075,0,1,4,3,0,0,0,0,0,2,0,0,10,2008
QUELUZ,354190,0,0,0,1,1,0,0,0,0,0,0,0,2,2008
SANTA BRANCA,354600,0,0,0,1,0,0,0,0,0,0,0,0,1,2008
SANTO ANTONIO DO PINHAL,354820,0,0,0,1,0,0,0,0,0,0,0,0,1,2008
SAO JOSE DOS CAMPOS,354990,3,14,103,97,32,10,0,0,0,0,0,0,259,2008
SAO PAULO,355030,138,129,200,258,76,23,30,12,4,14,11,39,934,2008
SAO SEBASTIAO,355070,0,4,17,52,24,4,2,2,0,0,4,1,110,2008
TAUBATE,355410,0,1,5,12,1,4,0,0,0,0,0,0,23,2008
CARAGUATATUBA,351050,1,1,5,7,5,5,0,2,0,1,0,0,27,2009
CRUZEIRO,351340,1,0,0,1,0,0,0,1,0,0,0,0,3,2009
IGARATA,352020,0,1,0,0,0,0,0,0,0,0,0,0,1,2009
ILHABELA,352040,1,1,1,11,40,13,5,1,0,0,0,0,73,2009
JACAREI,352440,1,1,1,3,3,1,0,0,0,0,0,0,10,2009
LAGOINHA,352630,0,1,0,0,0,0,0,0,0,0,0,0,1,2009
PINDAMONHANGABA,353800,0,0,1,0,0,0,0,0,0,0,0,0,1,2009
PIQUETE,353850,0,0,0,0,0,0,1,0,0,0,0,0,1,2009
POTIM,354075,1,1,1,0,0,0,0,0,0,0,1,0,4,2009
REDENCAO DA SERRA,354230,1,0,0,0,0,0,0,0,0,0,0,0,1,2009
SAO JOSE DOS CAMPOS,354990,3,2,3,4,8,4,0,0,0,2,2,1,29,2009
SAO LUIS DO PARAITINGA,355000,0,0,0,0,1,0,0,0,0,0,0,0,1,2009
SAO PAULO,355030,176,98,196,214,89,20,20,6,6,5,11,39,880,2009
SAO SEBASTIAO,355070,4,15,37,30,20,8,2,0,0,0,0,3,119,2009
TAUBATE,355410,1,2,6,1,0,0,0,0,0,1,0,3,14,2009
APARECIDA,350250,0,1,2,0,5,1,0,0,0,0,0,0,9,2010
AREIAS,350350,0,0,0,0,1,0,0,0,0,0,0,0,1,2010
BANANAL,350490,0,0,5,14,11,21,3,0,0,0,0,1,55,2010
CACAPAVA,350850,3,26,120,104,73,19,2,2,1,0,0,3,353,2010
CACHOEIRA PAULISTA,350860,0,2,22,52,52,3,1,1,0,0,3,2,138,2010
CAMPOS DO JORDAO,350970,1,1,1,0,0,0,0,0,0,0,0,0,3,2010
CARAGUATATUBA,351050,6,34,607,1074,1541,246,33,8,5,0,1,9,3564,2010
CRUZEIRO,351340,1,3,16,41,51,15,4,0,0,0,1,3,135,2010
CUNHA,351360,0,0,0,2,0,0,1,1,0,0,0,0,4,2010
GUARATINGUETA,351840,0,1,12,18,13,4,0,1,0,0,0,1,50,2010
ILHABELA,352040,3,27,178,498,500,171,23,0,2,1,0,4,1407,2010
JACAREI,352440,5,4,39,175,202,33,3,0,0,0,2,3,466,2010
JAMBEIRO,352490,0,0,0,3,1,0,0,0,0,0,0,0,4,2010
LAGOINHA,352630,0,0,0,1,1,0,0,0,0,0,0,0,2,2010
LORENA,352720,0,0,2,7,4,1,0,0,0,0,1,0,15,2010
NATIVIDADE DA SERRA,353230,0,0,0,0,1,0,0,0,0,0,0,0,1,2010
PARAIBUNA,353560,0,0,1,0,0,1,0,0,0,0,0,0,2,2010
PINDAMONHANGABA,353800,1,1,10,29,23,2,1,0,0,2,0,3,72,2010
POTIM,354075,0,0,1,0,1,1,0,0,0,0,0,0,3,2010
QUELUZ,354190,0,0,0,1,0,0,0,0,0,0,0,0,1,2010
ROSEIRA,354430,0,0,0,0,1,0,0,0,0,0,0,2,3,2010
